rewards,bullets_fired,scores
200,61,2
100,7,1
100,35,1
0,7,0
200,18,2
0,3,0
0,4,0
0,3,0
0,2,0
0,0,0
0,5,0
0,4,0
100,3,1
200,36,2
100,7,1
0,16,0
0,4,0
0,5,0
100,1,1
0,5,0
0,4,0
0,6,0
0,5,0
0,3,0
0,9,0
0,11,0
0,9,0
0,12,0
0,0,0
0,1,0
0,4,0
0,6,0
0,3,0
0,4,0
0,6,0
100,7,1
0,4,0
0,2,0
0,1,0
0,12,0
0,3,0
0,9,0
100,10,1
200,12,2
0,5,0
100,6,1
0,6,0
200,7,2
0,2,0
0,2,0
0,3,0
0,8,0
0,4,0
0,2,0
0,4,0
200,10,2
0,3,0
100,4,1
100,5,1
0,9,0
0,6,0
0,3,0
0,1,0
0,2,0
0,4,0
0,5,0
100,5,1
0,4,0
100,3,1
300,9,3
100,3,1
0,5,0
0,2,0
0,4,0
200,6,2
0,1,0
0,4,0
0,6,0
0,5,0
0,3,0
0,17,0
0,3,0
0,4,0
0,5,0
0,1,0
100,5,1
0,9,0
100,16,1
0,2,0
0,4,0
0,3,0
100,7,1
0,2,0
100,5,1
0,4,0
200,9,2
0,3,0
0,2,0
0,2,0
0,1,0
0,5,0
100,6,1
0,5,0
100,10,1
0,4,0
100,14,1
100,4,1
100,5,1
0,3,0
0,4,0
100,5,1
0,2,0
100,5,1
0,2,0
0,2,0
0,4,0
0,3,0
100,12,1
100,3,1
300,12,3
0,2,0
200,8,2
100,8,1
0,1,0
100,8,1
0,5,0
100,8,1
0,3,0
0,3,0
100,6,1
0,7,0
0,3,0
0,4,0
300,8,3
100,3,1
100,5,1
200,7,2
0,10,0
0,4,0
0,2,0
0,4,0
0,7,0
200,5,2
0,8,0
0,5,0
0,2,0
0,1,0
0,4,0
100,5,1
0,5,0
0,2,0
100,9,1
0,2,0
100,5,1
0,4,0
100,7,1
0,2,0
0,6,0
0,1,0
0,6,0
0,4,0
100,7,1
0,6,0
0,8,0
0,3,0
0,4,0
0,2,0
100,8,1
0,2,0
100,7,1
0,3,0
0,5,0
0,7,0
100,7,1
0,3,0
0,2,0
0,10,0
200,8,2
100,3,1
0,3,0
0,2,0
0,3,0
100,6,1
0,4,0
0,1,0
100,7,1
0,4,0
100,8,1
0,6,0
0,3,0
0,3,0
0,6,0
0,7,0
0,3,0
0,6,0
0,3,0
0,6,0
0,5,0
0,3,0
0,5,0
100,5,1
100,9,1
100,6,1
0,9,0
100,7,1
0,3,0
0,7,0
100,5,1
100,5,1
0,7,0
0,7,0
0,2,0
0,8,0
0,5,0
200,6,2
100,4,1
100,5,1
100,5,1
100,4,1
0,5,0
0,7,0
0,8,0
100,6,1
100,9,1
0,5,0
0,4,0
0,4,0
0,8,0
0,4,0
0,5,0
0,4,0
0,6,0
0,11,0
0,1,0
0,5,0
0,4,0
0,4,0
100,6,1
100,4,1
0,5,0
0,3,0
0,5,0
0,5,0
0,4,0
0,6,0
0,4,0
0,3,0
0,6,0
0,6,0
0,2,0
0,5,0
0,3,0
100,7,1
100,4,1
0,7,0
100,7,1
0,3,0
0,6,0
0,5,0
0,3,0
0,4,0
0,2,0
0,1,0
100,7,1
0,7,0
100,7,1
0,7,0
0,3,0
0,10,0
0,3,0
100,8,1
300,14,3
0,10,0
0,6,0
0,1,0
100,9,1
0,12,0
100,6,1
0,2,0
0,5,0
0,6,0
100,9,1
0,11,0
100,7,1
200,7,2
0,7,0
0,5,0
0,5,0
0,7,0
300,8,3
0,4,0
0,9,0
0,6,0
0,8,0
0,6,0
200,6,2
0,11,0
100,9,1
0,7,0
0,8,0
0,2,0
0,8,0
0,6,0
0,1,0
0,5,0
100,9,1
100,9,1
0,4,0
0,8,0
200,10,2
100,4,1
100,3,1
100,9,1
0,7,0
100,3,1
0,12,0
100,9,1
0,3,0
0,4,0
100,9,1
0,1,0
0,5,0
0,5,0
0,7,0
100,10,1
0,5,0
0,0,0
0,5,0
0,4,0
0,4,0
0,3,0
0,3,0
100,11,1
200,11,2
0,3,0
0,6,0
300,5,3
0,11,0
0,6,0
100,4,1
0,4,0
0,6,0
0,4,0
0,5,0
0,18,0
0,7,0
0,8,0
0,7,0
0,3,0
100,6,1
0,4,0
0,5,0
0,4,0
0,5,0
100,7,1
0,3,0
0,6,0
100,4,1
0,4,0
0,5,0
100,4,1
100,4,1
100,8,1
0,5,0
0,4,0
0,3,0
0,6,0
200,7,2
0,4,0
100,12,1
0,7,0
0,1,0
100,6,1
0,6,0
0,1,0
100,11,1
0,4,0
0,4,0
0,8,0
0,1,0
0,5,0
100,2,1
0,7,0
100,6,1
0,5,0
0,0,0
200,8,2
0,5,0
100,6,1
0,3,0
0,6,0
0,6,0
0,9,0
0,11,0
200,9,2
0,7,0
0,7,0
0,1,0
0,0,0
0,3,0
0,5,0
0,4,0
0,3,0
0,5,0
100,7,1
0,2,0
0,6,0
100,6,1
100,5,1
100,18,1
0,1,0
0,5,0
0,6,0
100,5,1
0,1,0
0,4,0
200,7,2
0,4,0
0,6,0
0,6,0
200,6,2
0,2,0
0,7,0
100,5,1
0,3,0
100,8,1
200,14,2
0,7,0
0,5,0
0,1,0
0,2,0
100,6,1
0,9,0
100,8,1
0,8,0
100,4,1
0,2,0
0,4,0
0,4,0
0,4,0
0,7,0
0,5,0
0,3,0
100,5,1
0,0,0
0,7,0
100,5,1
100,5,1
100,8,1
0,1,0
0,7,0
0,3,0
100,7,1
0,8,0
0,5,0
100,6,1
0,5,0
0,6,0
0,4,0
0,4,0
100,8,1
0,5,0
0,9,0
0,6,0
0,3,0
0,6,0
0,3,0
0,4,0
0,1,0
0,2,0
0,6,0
0,6,0
100,7,1
0,1,0
0,4,0
0,8,0
0,5,0
0,4,0
100,8,1
100,13,1
0,5,0
0,7,0
0,8,0
100,8,1
0,4,0
0,3,0
0,8,0
0,7,0
100,5,1
0,8,0
100,8,1
0,1,0
0,4,0
0,2,0
100,9,1
0,9,0
100,6,1
0,4,0
0,5,0
0,3,0
0,4,0
0,7,0
0,5,0
0,4,0
0,3,0
0,5,0
0,5,0
0,0,0
0,3,0
0,4,0
100,9,1
200,8,2
100,13,1
200,4,2
0,8,0
0,3,0
100,4,1
0,7,0
0,2,0
0,6,0
0,2,0
100,8,1
0,7,0
0,2,0
0,7,0
0,6,0
0,6,0
0,9,0
0,9,0
0,5,0
0,4,0
0,5,0
0,6,0
0,4,0
0,7,0
0,15,0
0,6,0
0,5,0
100,4,1
0,2,0
0,3,0
0,8,0
100,7,1
0,8,0
100,7,1
200,9,2
0,8,0
100,8,1
0,2,0
100,9,1
0,4,0
200,8,2
0,6,0
0,2,0
0,3,0
100,7,1
0,4,0
0,7,0
200,7,2
0,5,0
0,6,0
0,8,0
0,9,0
0,4,0
0,7,0
100,5,1
100,9,1
0,2,0
0,5,0
0,9,0
100,3,1
0,10,0
0,4,0
0,6,0
0,4,0
0,9,0
0,4,0
0,3,0
0,4,0
0,3,0
100,9,1
100,4,1
100,9,1
0,6,0
0,3,0
0,4,0
0,3,0
100,6,1
0,4,0
100,5,1
0,5,0
0,2,0
200,8,2
0,3,0
300,12,3
0,4,0
0,3,0
0,1,0
0,2,0
0,5,0
0,2,0
0,6,0
0,3,0
0,5,0
0,1,0
100,8,1
0,4,0
200,8,2
0,8,0
100,6,1
100,4,1
0,11,0
0,1,0
100,4,1
100,9,1
0,4,0
0,3,0
0,6,0
100,7,1
0,4,0
0,5,0
0,2,0
0,6,0
0,1,0
0,6,0
0,4,0
0,4,0
0,6,0
200,8,2
200,4,2
0,4,0
100,10,1
200,10,2
0,6,0
100,7,1
0,3,0
0,5,0
0,8,0
0,5,0
0,4,0
100,5,1
0,2,0
100,5,1
0,3,0
100,6,1
0,4,0
0,9,0
0,7,0
100,6,1
0,4,0
0,4,0
100,9,1
100,9,1
0,3,0
0,8,0
0,5,0
0,5,0
200,6,2
0,4,0
100,6,1
100,6,1
0,8,0
0,2,0
0,8,0
0,4,0
0,5,0
100,8,1
0,4,0
0,5,0
0,8,0
0,8,0
0,11,0
100,5,1
0,4,0
0,6,0
0,5,0
0,4,0
0,7,0
100,6,1
0,2,0
100,3,1
0,6,0
0,3,0
100,10,1
100,8,1
100,4,1
100,3,1
0,4,0
0,6,0
0,9,0
100,7,1
0,2,0
100,5,1
100,3,1
0,5,0
0,6,0
0,10,0
100,5,1
0,7,0
100,8,1
0,1,0
100,8,1
100,7,1
0,1,0
0,5,0
100,5,1
0,1,0
0,13,0
0,7,0
0,4,0
0,3,0
100,4,1
0,5,0
0,1,0
0,5,0
0,3,0
0,2,0
0,2,0
0,6,0
0,7,0
0,3,0
0,7,0
0,7,0
100,14,1
300,11,3
0,1,0
0,5,0
100,4,1
0,6,0
0,7,0
200,5,2
100,8,1
300,7,3
100,4,1
0,6,0
100,4,1
0,2,0
