rewards,bullets_fired,scores
-1263,27,1
-1410,14,1
-1096,13,1
-1064,9,2
-976,6,0
-820,9,2
-1244,6,0
-291,12,3
-852,4,1
-933,26,1
-1051,7,1
-610,7,1
-444,5,1
-862,4,0
-780,4,0
-613,1,0
-594,6,2
-729,4,1
-1230,5,1
-1227,5,0
-887,3,2
-888,11,1
-1414,5,1
-765,5,1
-607,14,5
-1428,4,0
-951,3,0
-994,16,1
-851,9,2
-1044,13,1
-1295,5,2
-850,0,0
-183,5,2
-1167,5,1
-372,6,0
-1452,8,0
-362,11,1
-823,9,2
-763,13,3
-1147,13,1
-1438,8,1
-1071,7,0
-799,14,1
-947,7,0
-1122,8,1
-375,11,3
-1156,6,0
-1342,4,0
-1613,10,0
-487,6,2
-531,5,1
-1141,8,0
-1196,6,2
-370,4,1
-1014,2,2
-1092,10,1
-733,2,0
-1031,4,0
-745,9,1
-1239,7,0
-830,8,2
-1101,8,0
-1032,10,2
-1301,1,0
-1458,10,2
-1327,6,1
-352,9,2
-772,8,2
-606,8,2
-851,7,1
-1813,3,0
-1404,6,0
-175,5,2
-1512,7,1
-1029,8,1
-677,6,1
-740,3,1
-696,5,1
-997,5,1
-1357,5,0
-754,7,1
-983,7,1
-1101,7,2
-745,10,1
-1272,3,1
-872,5,1
-734,4,1
-1356,7,1
-1060,3,0
-1436,5,1
-1527,4,0
-1233,7,2
-1124,8,2
-556,8,2
-718,7,0
-653,9,1
-1146,9,2
-325,6,2
-1411,9,0
-910,6,0
-1621,3,0
-1453,7,0
-1621,3,0
-1344,8,0
-517,8,2
-689,16,4
-584,8,0
-484,7,2
-435,10,3
-903,7,2
-1243,13,2
-604,9,3
-764,9,1
-1310,6,0
-545,7,1
-1122,4,0
-1341,7,0
-836,2,0
-806,5,1
-674,4,0
-1388,4,0
-905,9,2
-1592,6,0
-857,4,1
-1546,8,0
-1241,11,2
-598,6,2
-916,9,3
-857,6,1
-995,5,0
-313,7,2
-827,3,0
-1327,7,1
-783,1,0
